scenario,round,input_bytes,archive_bytes,part_count,pack_seconds,extract_seconds,inspect_seconds,random_prefix_seconds,random_prefix_count,heap_pool_peak_sum_bytes,scratch_limit_bytes
stored,1,18874368,18874882,1,0.067045500,0.026966900,0.000697900,0.001818600,64,91488392,67108864
stored,2,18874368,18874882,1,0.073173600,0.026078000,0.000495400,0.001184700,64,91488392,67108864
stored,3,18874368,18874882,1,0.084550400,0.024519700,0.000651400,0.001131300,64,99877000,67108864
zlib,1,18874368,8401986,1,0.267131800,0.041741900,0.000505700,0.001591700,64,125042824,67108864
zlib,2,18874368,8401986,1,0.251808200,0.041403900,0.000579800,0.001942600,64,133431432,67108864
zlib,3,18874368,8401986,1,0.261572300,0.043250100,0.000517400,0.001696400,64,141820040,67108864
mixed,1,18874368,8401340,1,0.218432800,0.045137900,0.000590800,0.001671700,64,158597256,67108864
mixed,2,18874368,8401340,1,0.221699600,0.041486400,0.000479900,0.001536200,64,166985864,67108864
mixed,3,18874368,8401340,1,0.218173500,0.041729700,0.000475900,0.001515300,64,175374472,67108864
shared-split,1,18874368,8400002,4,0.274705500,0.054103600,0.001942700,0.001000200,64,200540296,67108864
shared-split,2,18874368,8400002,4,0.272297300,0.060060400,0.001952000,0.000962300,64,208928904,67108864
shared-split,3,18874368,8400002,4,0.264205600,0.057762600,0.001678300,0.000972000,64,225706120,67108864
