codec	corpus	decoded_bytes	stored_bytes	input_sha256	encoded_sha256	repetition	encode_ms	decode_ms	encode_mib_s	decode_mib_s	encode_max_checkpoint_gap_ms	decode_max_checkpoint_gap_ms	encode_native_credit_bytes	decode_native_credit_bytes	process_peak_working_set_bytes
raw-lz4	repeated-251	0	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0	73.099	0.090	0.000	0.000	3.379	0.045	524336	17	142213120
raw-lz4	repeated-251	0	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	1	0.211	0.022	0.000	0.000	0.177	0.012	524336	17	142213120
raw-lz4	repeated-251	0	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	2	0.185	0.020	0.000	0.000	0.146	0.012	524336	17	142213120
raw-lz4	random-seed43	0	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0	0.088	0.018	0.000	0.000	0.054	0.010	524336	17	142213120
raw-lz4	random-seed43	0	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	1	0.086	0.018	0.000	0.000	0.052	0.010	524336	17	142213120
raw-lz4	random-seed43	0	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	2	0.086	0.019	0.000	0.000	0.049	0.010	524336	17	142213120
raw-lz4	repeated-251	65536	517	4b640d85ab3ba30fd02c9fc9db4a8928f416322ad27022ea58a65aaee68a4df2	af176a1e0c346d3b3953013b3b1c0c35899da56b7b577e19384e28487200c4a6	0	0.425	0.038	147.197	1627.604	0.311	0.017	655665	66069	142213120
raw-lz4	repeated-251	65536	517	4b640d85ab3ba30fd02c9fc9db4a8928f416322ad27022ea58a65aaee68a4df2	af176a1e0c346d3b3953013b3b1c0c35899da56b7b577e19384e28487200c4a6	1	0.105	0.047	595.806	1341.202	0.060	0.013	655665	66069	142213120
raw-lz4	repeated-251	65536	517	4b640d85ab3ba30fd02c9fc9db4a8928f416322ad27022ea58a65aaee68a4df2	af176a1e0c346d3b3953013b3b1c0c35899da56b7b577e19384e28487200c4a6	2	0.129	0.036	482.998	1717.033	0.068	0.012	655665	66069	142213120
raw-lz4	random-seed43	65536	65794	f09e06ce081a2a3231bd1b66fbe3b1eb580fffbb81d2e761398edd889c013876	4f99be256fa007208dbca41d6c219e72e760321967a99e13146389f1299bc015	0	0.891	0.039	70.146	1590.331	0.779	0.017	655665	131346	142213120
raw-lz4	random-seed43	65536	65794	f09e06ce081a2a3231bd1b66fbe3b1eb580fffbb81d2e761398edd889c013876	4f99be256fa007208dbca41d6c219e72e760321967a99e13146389f1299bc015	1	0.880	0.038	71.055	1631.854	0.751	0.017	655665	131346	142213120
raw-lz4	random-seed43	65536	65794	f09e06ce081a2a3231bd1b66fbe3b1eb580fffbb81d2e761398edd889c013876	4f99be256fa007208dbca41d6c219e72e760321967a99e13146389f1299bc015	2	0.857	0.030	72.946	2055.921	0.757	0.013	655665	131346	142213120
raw-lz4	repeated-251	16777216	66053	287507f403176f1f5b22b9a4d9cb49f7d7f88ac19e406b5ae87ce109564846bd	f23f6bd1ceede4b435ad22ed80f0dfcaef8a7bf37443dc20603a2dd42d000cbc	0	6.209	6.065	2576.780	2638.000	4.391	1.822	34144561	16843285	238407680
raw-lz4	repeated-251	16777216	66053	287507f403176f1f5b22b9a4d9cb49f7d7f88ac19e406b5ae87ce109564846bd	f23f6bd1ceede4b435ad22ed80f0dfcaef8a7bf37443dc20603a2dd42d000cbc	1	6.644	6.537	2408.333	2447.793	4.416	1.914	34144561	16843285	289017856
raw-lz4	repeated-251	16777216	66053	287507f403176f1f5b22b9a4d9cb49f7d7f88ac19e406b5ae87ce109564846bd	f23f6bd1ceede4b435ad22ed80f0dfcaef8a7bf37443dc20603a2dd42d000cbc	2	6.454	6.880	2478.929	2325.480	4.579	2.014	34144561	16843285	320155648
raw-lz4	random-seed43	16777216	16842862	cdf23856e1b8fc650944df7e0961b6626359a2bed487abd42881fb5aa0c24902	4392d72a731a2669baab4f8acc0e76be4b75d4f5e7a70a532e08ba28aee9fa9f	0	325.150	9.846	49.208	1624.976	312.840	4.519	34144561	33620094	438542336
raw-lz4	random-seed43	16777216	16842862	cdf23856e1b8fc650944df7e0961b6626359a2bed487abd42881fb5aa0c24902	4392d72a731a2669baab4f8acc0e76be4b75d4f5e7a70a532e08ba28aee9fa9f	1	305.190	8.014	52.426	1996.481	293.952	4.582	34144561	33620094	474562560
raw-lz4	random-seed43	16777216	16842862	cdf23856e1b8fc650944df7e0961b6626359a2bed487abd42881fb5aa0c24902	4392d72a731a2669baab4f8acc0e76be4b75d4f5e7a70a532e08ba28aee9fa9f	2	307.725	6.893	51.994	2321.296	299.087	3.901	34144561	33620094	474877952
lz4-frame	repeated-251	0	15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ff2d4fa25b032b9e88f09b73d8b58bf9b139945bbbe1735d10732636a36844be	0	11.882	0.502	0.000	0.000	1.267	0.000	2293760	9633792	474877952
lz4-frame	repeated-251	0	15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ff2d4fa25b032b9e88f09b73d8b58bf9b139945bbbe1735d10732636a36844be	1	0.125	0.061	0.000	0.000	0.027	0.000	2293760	9633792	474877952
